prompt,model,status,overall_score,model_score,hard_score,approvals,iterations,critical_count,major_count,deadline_violations,task_coverage,availability_overrun,stop_reason,json_path,ics_path,error
01_urgent_mixed_deadlines.txt,google/gemini-3.1-flash-lite-preview,ok,4.2,3.5,4.8,5,1,0,0,1,1,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/01_urgent_mixed_deadlines.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/01_urgent_mixed_deadlines.ics,
02_wellbeing_low_energy.txt,google/gemini-3.1-flash-lite-preview,ok,3.9,3.5,4.2,5,2,0,0,3,0.67,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/02_wellbeing_low_energy.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/02_wellbeing_low_energy.ics,
03_grade_weighted_priorities.txt,google/gemini-3.1-flash-lite-preview,ok,4.1,3.5,4.7,4,3,0,2,0,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/03_grade_weighted_priorities.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/03_grade_weighted_priorities.ics,
04_group_project_coordination.txt,google/gemini-3.1-flash-lite-preview,ok,4.8,4.5,5,5,1,0,0,0,1,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/04_group_project_coordination.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/04_group_project_coordination.ics,
05_fixed_commitments_busy_week.txt,google/gemini-3.1-flash-lite-preview,ok,3,2.2,3.8,3,3,2,2,2,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/05_fixed_commitments_busy_week.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/05_fixed_commitments_busy_week.ics,
06_uncertain_scope_hidden_work.txt,google/gemini-3.1-flash-lite-preview,ok,4.8,4.5,5,5,1,0,0,0,1,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/06_uncertain_scope_hidden_work.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/06_uncertain_scope_hidden_work.ics,
07_exam_week_revision.txt,google/gemini-3.1-flash-lite-preview,ok,4.8,4.5,5,5,2,0,0,0,1,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/07_exam_week_revision.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/07_exam_week_revision.ics,
08_part_time_job_commute.txt,google/gemini-3.1-flash-lite-preview,ok,4.1,3.5,4.6,5,2,0,0,1,0.67,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/08_part_time_job_commute.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/08_part_time_job_commute.ics,
09_no_deadlines_self_study.txt,google/gemini-3.1-flash-lite-preview,ok,4.8,4.5,5,5,1,0,0,0,1,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/09_no_deadlines_self_study.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/09_no_deadlines_self_study.ics,
10_overloaded_impossible_week.txt,google/gemini-3.1-flash-lite-preview,ok,4.6,4.2,4.9,5,2,0,0,0,0.8,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/10_overloaded_impossible_week.json,/home/dan1e1/Desktop/AASMA/Projeto/results/gemini-3.1-flash-lite/runs/10_overloaded_impossible_week.ics,
